axe,horizon,pointe,n_ouvert,ferme,n_ferme,rouvre
IC NUIT,2,pointe,318,6,1021,6
IC NUIT,3,creuse,291,6,1073,39
IC NUIT,3,pointe,276,0,1030,6
IC NUIT,4,creuse,205,0,1176,47
IC NUIT,4,pointe,216,0,1041,30
IC NUIT,5,creuse,217,34,1187,22
IC NUIT,5,pointe,209,10,992,17
IC NUIT,6,creuse,227,17,1153,35
IC NUIT,6,pointe,213,13,983,16
IC NUIT,7,creuse,245,6,1122,23
IC NUIT,7,pointe,244,7,977,13
IC NUIT,8,creuse,225,12,1133,33
IC NUIT,8,pointe,259,10,942,6
IC NUIT,9,creuse,187,7,1166,18
IC NUIT,9,pointe,242,6,933,10
IC NUIT,10,creuse,185,22,1184,6
IC NUIT,10,pointe,204,0,945,9
IC NUIT,11,creuse,179,6,1118,1
IC NUIT,11,pointe,191,7,869,6
IC NUIT,12,creuse,107,0,1166,72
IC NUIT,12,pointe,121,0,882,70
IC NUIT,13,creuse,108,7,1113,22
IC NUIT,13,pointe,134,6,844,0
IC NUIT,14,creuse,101,0,1068,23
IC NUIT,14,pointe,142,0,784,6
IC NUIT,15,creuse,86,1,1046,22
IC NUIT,15,pointe,163,6,723,0
IC NUIT,16,creuse,53,0,1046,28
IC NUIT,16,pointe,137,0,703,20
IC NUIT,17,creuse,80,39,1035,0
IC NUIT,17,pointe,114,6,700,0
IC NUIT,18,creuse,84,16,959,6
IC NUIT,18,pointe,111,7,644,0
IC NUIT,19,creuse,96,12,943,0
IC NUIT,19,pointe,114,10,648,7
IC NUIT,20,creuse,103,7,918,0
IC NUIT,20,pointe,134,20,642,0
IC NUIT,21,creuse,98,6,900,17
IC NUIT,21,pointe,131,0,643,13
IC NUIT,22,creuse,93,23,901,6
IC NUIT,22,pointe,130,13,637,17
IC NUIT,23,creuse,65,6,929,0
IC NUIT,23,pointe,109,10,644,0
IC NUIT,24,creuse,24,0,990,23
IC NUIT,24,pointe,76,7,661,16
IC NUIT,25,creuse,28,16,1007,0
IC NUIT,25,pointe,59,0,655,0
IC NUIT,26,creuse,22,0,989,6
IC NUIT,26,pointe,59,0,641,0
IC NUIT,27,creuse,29,7,1035,0
IC NUIT,27,pointe,68,16,675,13
IC NUIT,28,creuse,29,0,1028,0
IC NUIT,28,pointe,68,0,676,0
IC NUIT,29,creuse,7,0,1056,6
IC NUIT,29,pointe,57,6,689,10
IC NUIT,30,creuse,0,0,1073,7
IC NUIT,30,pointe,0,0,734,43
IC SRO,1,creuse,0,0,12868,0
IC SRO,1,pointe,0,0,10522,0
IC SRO,2,creuse,0,0,12864,0
IC SRO,2,pointe,0,0,10518,0
IC SRO,3,creuse,0,0,12976,0
IC SRO,3,pointe,0,0,10538,0
IC SRO,4,creuse,0,0,13094,0
IC SRO,4,pointe,0,0,10552,0
IC SRO,5,creuse,0,0,13156,0
IC SRO,5,pointe,0,0,10556,0
IC SRO,6,creuse,0,0,13041,0
IC SRO,6,pointe,0,0,10528,0
IC SRO,7,creuse,0,0,12926,0
IC SRO,7,pointe,0,0,10500,0
IC SRO,8,creuse,0,0,12821,0
IC SRO,8,pointe,0,0,10470,0
