train_no,origine_iata,destination_iata,bande,n_ouvert,ferme,n_ferme,rouvre
106306,FRAFW,FRXSH,imminent,0,0,14,0
106306,FRAFW,FRXSH,intervalle,0,0,21,0
106306,FRAFW,FRXSH,lointain,0,0,105,0
106306,FRAFW,FRXSH,moyen,0,0,49,0
106306,FRAFW,FRXSH,ouverture,0,0,10,0
106306,FRAFW,FRXSH,plateau,0,0,51,0
106306,FRAFW,FRXSH,proche,0,0,35,0
106306,FRAFW,FRXSH,relance,0,0,3,0
106330,FRAFW,FRXSH,bascule,0,0,3,0
106330,FRAFW,FRXSH,derniers_jours,0,0,9,0
106330,FRAFW,FRXSH,imminent,0,0,14,0
106330,FRAFW,FRXSH,intervalle,0,0,21,0
106330,FRAFW,FRXSH,lointain,0,0,105,0
106330,FRAFW,FRXSH,moyen,0,0,49,0
106330,FRAFW,FRXSH,ouverture,0,0,10,0
106330,FRAFW,FRXSH,plateau,0,0,51,0
106330,FRAFW,FRXSH,proche,0,0,35,0
106330,FRAFW,FRXSH,relance,0,0,3,0
106331,FRAFW,FRXSH,bascule,0,0,3,0
106331,FRAFW,FRXSH,derniers_jours,0,0,9,0
106331,FRAFW,FRXSH,imminent,0,0,14,0
106331,FRAFW,FRXSH,intervalle,0,0,21,0
106331,FRAFW,FRXSH,lointain,0,0,105,0
106331,FRAFW,FRXSH,moyen,0,0,49,0
106331,FRAFW,FRXSH,ouverture,0,0,10,0
106331,FRAFW,FRXSH,plateau,0,0,51,0
106331,FRAFW,FRXSH,proche,0,0,35,0
106331,FRAFW,FRXSH,relance,0,0,3,0
106340,FRAFW,FRXSH,bascule,0,0,3,0
106340,FRAFW,FRXSH,derniers_jours,0,0,9,0
106340,FRAFW,FRXSH,imminent,0,0,14,0
106340,FRAFW,FRXSH,intervalle,0,0,5,0
106340,FRAFW,FRXSH,lointain,0,0,15,0
106340,FRAFW,FRXSH,moyen,0,0,23,0
106340,FRAFW,FRXSH,ouverture,0,0,1,0
106340,FRAFW,FRXSH,plateau,0,0,6,0
106340,FRAFW,FRXSH,proche,0,0,35,0
106340,FRAFW,FRXSH,relance,0,0,1,0
106342,FRAFW,FRXSH,bascule,0,0,1,0
106342,FRAFW,FRXSH,derniers_jours,0,0,7,0
106342,FRAFW,FRXSH,imminent,0,0,10,0
106342,FRAFW,FRXSH,intervalle,0,0,3,0
106342,FRAFW,FRXSH,lointain,0,0,15,0
106342,FRAFW,FRXSH,moyen,0,0,13,0
106342,FRAFW,FRXSH,ouverture,0,0,1,0
106342,FRAFW,FRXSH,plateau,0,0,6,0
106342,FRAFW,FRXSH,proche,0,0,25,0
106342,FRAFW,FRXSH,relance,0,0,1,0
106347,FRAFW,FRXSH,bascule,0,0,2,0
106347,FRAFW,FRXSH,derniers_jours,0,0,8,0
106347,FRAFW,FRXSH,imminent,0,0,12,0
106347,FRAFW,FRXSH,intervalle,0,0,18,0
106347,FRAFW,FRXSH,lointain,0,0,90,0
106347,FRAFW,FRXSH,moyen,0,0,42,0
106347,FRAFW,FRXSH,ouverture,0,0,9,0
106347,FRAFW,FRXSH,plateau,0,0,45,0
106347,FRAFW,FRXSH,proche,0,0,30,0
106347,FRAFW,FRXSH,relance,0,0,2,0
106350,FRAFW,FRXSH,imminent,0,0,2,0
106350,FRAFW,FRXSH,intervalle,0,0,3,0
106350,FRAFW,FRXSH,lointain,0,0,15,0
106350,FRAFW,FRXSH,moyen,0,0,7,0
106350,FRAFW,FRXSH,ouverture,0,0,1,0
106350,FRAFW,FRXSH,plateau,0,0,8,0
106350,FRAFW,FRXSH,proche,0,0,5,0
106350,FRAFW,FRXSH,relance,0,0,1,0
106355,FRAFW,FRXSH,bascule,0,0,1,0
106355,FRAFW,FRXSH,derniers_jours,0,0,8,0
106355,FRAFW,FRXSH,imminent,0,0,10,0
106355,FRAFW,FRXSH,intervalle,0,0,15,0
106355,FRAFW,FRXSH,lointain,0,0,75,0
106355,FRAFW,FRXSH,moyen,0,0,35,0
106355,FRAFW,FRXSH,ouverture,0,0,8,0
106355,FRAFW,FRXSH,plateau,0,0,38,0
106355,FRAFW,FRXSH,proche,0,0,25,0
106355,FRAFW,FRXSH,relance,0,0,1,0
106367,FRAFW,FRXSH,bascule,0,0,1,0
106367,FRAFW,FRXSH,derniers_jours,0,0,1,0
106367,FRAFW,FRXSH,imminent,0,0,2,0
106367,FRAFW,FRXSH,intervalle,0,0,3,0
106367,FRAFW,FRXSH,lointain,0,0,15,0
106367,FRAFW,FRXSH,moyen,0,0,7,0
106367,FRAFW,FRXSH,ouverture,0,0,1,0
106367,FRAFW,FRXSH,plateau,0,0,6,0
106367,FRAFW,FRXSH,proche,0,0,5,0
106367,FRAFW,FRXSH,relance,0,0,1,0
106377,FRAFW,FRXSH,bascule,0,0,3,0
106377,FRAFW,FRXSH,derniers_jours,0,0,9,0
106377,FRAFW,FRXSH,imminent,0,0,14,0
106377,FRAFW,FRXSH,intervalle,0,0,21,0
106377,FRAFW,FRXSH,lointain,0,0,105,0
106377,FRAFW,FRXSH,moyen,0,0,49,0
106377,FRAFW,FRXSH,ouverture,0,0,10,0
106377,FRAFW,FRXSH,plateau,0,0,51,0
106377,FRAFW,FRXSH,proche,0,0,35,0
106377,FRAFW,FRXSH,relance,0,0,3,0
106378,FRAFW,FRXSH,bascule,0,0,3,0
106378,FRAFW,FRXSH,derniers_jours,0,0,9,0
106378,FRAFW,FRXSH,imminent,0,0,14,0
106378,FRAFW,FRXSH,intervalle,0,0,21,0
106378,FRAFW,FRXSH,lointain,0,0,105,0
106378,FRAFW,FRXSH,moyen,0,0,49,0
106378,FRAFW,FRXSH,ouverture,0,0,10,0
106378,FRAFW,FRXSH,plateau,0,0,51,0
106378,FRAFW,FRXSH,proche,0,0,35,0
106378,FRAFW,FRXSH,relance,0,0,3,0
106442,FRAFW,FRXSH,bascule,0,0,1,0
106442,FRAFW,FRXSH,imminent,0,0,2,0
106442,FRAFW,FRXSH,intervalle,0,0,3,0
106442,FRAFW,FRXSH,lointain,0,0,15,0
106442,FRAFW,FRXSH,moyen,0,0,7,0
106442,FRAFW,FRXSH,ouverture,0,0,1,0
106442,FRAFW,FRXSH,plateau,0,0,7,0
106442,FRAFW,FRXSH,proche,0,0,5,0
106442,FRAFW,FRXSH,relance,0,0,1,0
106445,FRAFW,FRXSH,bascule,0,0,1,0
106445,FRAFW,FRXSH,derniers_jours,0,0,8,0
106445,FRAFW,FRXSH,imminent,0,0,10,0
106445,FRAFW,FRXSH,intervalle,0,0,15,0
106445,FRAFW,FRXSH,lointain,0,0,75,0
106445,FRAFW,FRXSH,moyen,0,0,35,0
106445,FRAFW,FRXSH,ouverture,0,0,8,0
106445,FRAFW,FRXSH,plateau,0,0,38,0
106445,FRAFW,FRXSH,proche,0,0,25,0
106445,FRAFW,FRXSH,relance,0,0,1,0
106450,FRAFW,FRXSH,bascule,0,0,3,0
106450,FRAFW,FRXSH,derniers_jours,0,0,9,0
106450,FRAFW,FRXSH,imminent,0,0,14,0
106450,FRAFW,FRXSH,intervalle,0,0,21,0
106450,FRAFW,FRXSH,lointain,0,0,105,0
106450,FRAFW,FRXSH,moyen,0,0,49,0
106450,FRAFW,FRXSH,ouverture,0,0,10,0
106450,FRAFW,FRXSH,plateau,0,0,51,0
106450,FRAFW,FRXSH,proche,0,0,35,0
106450,FRAFW,FRXSH,relance,0,0,3,0
106461,FRAFW,FRXSH,bascule,0,0,2,0
106461,FRAFW,FRXSH,derniers_jours,0,0,2,0
106461,FRAFW,FRXSH,imminent,0,0,4,0
106461,FRAFW,FRXSH,intervalle,0,0,6,0
106461,FRAFW,FRXSH,lointain,0,0,30,0
106461,FRAFW,FRXSH,moyen,0,0,14,0
106461,FRAFW,FRXSH,ouverture,0,0,3,0
106461,FRAFW,FRXSH,plateau,0,0,13,0
106461,FRAFW,FRXSH,proche,0,0,10,0
106461,FRAFW,FRXSH,relance,0,0,1,0
106485,FRAFW,FRXSH,bascule,0,0,3,0
106485,FRAFW,FRXSH,derniers_jours,0,0,9,0
106485,FRAFW,FRXSH,imminent,0,0,14,0
106485,FRAFW,FRXSH,intervalle,0,0,21,0
106485,FRAFW,FRXSH,lointain,0,0,105,0
106485,FRAFW,FRXSH,moyen,0,0,49,0
