horizon,anciennete,bascules,n_ouvert,ferme,n_ferme,rouvre
26,1j,une,470,168,0,0
26,2-3j,inconnu,224,30,84,45
26,2-3j,jamais,0,0,2,0
26,2-3j,quelques,95,3,627,70
26,2-3j,une,526,60,8,0
26,4-7j,jamais,121,0,107127,360
26,4-7j,une,13244,312,0,0
26,inconnue,inconnu,3132,44,46304,75
27,1j,inconnu,159,4,124,43
27,1j,quelques,108,13,564,29
27,1j,une,280,80,0,0
27,2-3j,inconnu,69,0,7,4
27,2-3j,jamais,0,0,2,0
27,2-3j,quelques,0,0,291,54
27,2-3j,une,15717,348,8,0
27,4-7j,jamais,136,0,117411,477
27,inconnue,inconnu,2243,57,35025,116
28,1j,inconnu,147,78,18,11
28,1j,jamais,0,0,2,0
28,1j,quelques,0,0,421,111
28,1j,une,757,180,8,0
28,2-3j,jamais,136,0,129393,293
28,2-3j,une,16366,405,0,0
28,inconnue,inconnu,1848,46,22614,148
29,1j,jamais,1,1,0,0
29,1j,une,18194,434,0,0
29,2-3j,jamais,157,7,140796,770
29,inconnue,inconnu,1207,18,11021,147
30,1j,jamais,170,0,171022,20447
